Time(Min)	T(K) 	(0 Deg.) M.S.(uV)	(0 Deg.)STD(uV)
0.0	78.8	-127.63	0.00
0.3	78.9	-127.63	0.00
0.6	79.0	-127.63	0.00
0.9	79.1	-127.63	0.00
1.2	79.3	-127.63	0.00
1.4	79.4	-127.63	0.00
1.6	79.5	-132.48	0.10
1.9	79.7	-152.14	44.16
2.1	79.8	-134.28	0.04
2.4	80.0	-132.05	0.06
2.6	80.1	-131.82	0.04
2.9	80.2	-131.68	0.03
3.1	80.3	-131.47	0.03
3.4	80.5	-131.36	0.05
3.7	80.6	-131.20	0.00
3.9	80.8	-131.04	0.02
4.2	80.9	-130.93	0.03
4.4	81.0	-130.78	0.03
4.7	81.2	-130.63	0.08
4.9	81.3	-130.54	0.07
5.2	81.4	-130.36	0.05
5.4	81.5	-130.32	0.04
5.7	81.6	-130.21	0.02
5.9	81.7	-130.07	0.04
6.2	81.9	-129.98	0.03
6.4	82.0	-129.94	0.02
6.7	82.1	-129.73	0.04
6.9	82.2	-129.59	0.05
7.2	82.3	-129.49	0.02
7.5	82.4	-129.34	0.05
7.7	82.5	-129.20	0.04
8.1	82.6	-129.07	0.04
8.3	82.8	-128.98	0.03
8.7	82.9	-128.84	0.05
9.0	83.0	-128.77	0.04
9.3	83.1	-128.59	0.05
9.7	83.2	-128.47	0.03
10.0	83.4	-128.42	0.07
10.3	83.5	-128.32	0.04
10.7	83.6	-128.16	0.07
11.0	83.7	-128.03	0.03
11.3	83.9	-127.89	0.09
11.7	84.0	-127.80	0.07
11.9	84.1	-127.74	0.05
12.2	84.2	-127.64	0.02
12.5	84.4	-127.51	0.02
12.8	84.5	-127.40	0.07
13.2	84.6	-127.34	0.02
13.5	84.7	-127.27	0.03
13.8	84.8	-127.07	0.03
14.2	84.9	-126.96	0.07
14.5	85.0	-126.84	0.07
14.8	85.2	-126.76	0.02
15.2	85.3	-126.70	0.06
15.5	85.4	-126.58	0.03
15.8	85.5	-126.48	0.03
16.2	85.6	-126.45	0.06
16.7	85.7	-126.25	0.04
17.1	85.8	-126.14	0.05
17.4	86.0	-126.06	0.04
17.7	86.1	-125.99	0.04
18.0	86.2	-125.84	0.07
18.3	86.3	-125.78	0.04
18.7	86.4	-125.75	0.00
19.0	86.5	-125.56	0.02
